label,text,predicted_class
0,copycat muslim terrorist arrested assault weapon,Fake
0,wow chicago protester caught camera admits violent activity pre planned gonna peaceful,Fake
0,germany fdp look fill schaeuble big shoe,Fake
0,mi school sends welcome back packet warning kid wearing u flag school,Fake
1,u n seek massive aid boost amid rohingya emergency within emergency,True
0,oprah leave nasty hillary wishing endorsed video,Fake
1,france macron say job cool cite talk turkey erdogan,True
0,flashback chilling 60 minute interview george soros nearly 20 year ago,Fake
1,spanish foreign ministry say expel north korean ambassador,True
1,trump say cuba bad thing aimed u diplomat,True
1,merkel name refugee expert foreign policy adviser,True
1,brazil house speaker say temer charge must taken together,True
0,finger every pie cia produce news entertainment,Fake
0,malia obama pot smoking friend connected father thug brutal criminal history trouble law,Fake
1,one wreck democracy schaueble tell german,True
0,medium ignores post facebook man threatened blow ca mosque hillary would make great president,Fake
0,left wing author blast democrat scandal mongering rachel maddow dot may never connect video,Fake
0,revealed democratic party pay agit prop protester incite violence trump event,Fake
1,macron call french food chain change help farmer,True
0,breaking news gop controlled house vote repeal obamacare,Fake
1,dutch government roll carpet business tax cut,True
1,exclusive u backed raqqa battle end two month say senior sdf commander,True
0,mainstream medium fake news 21st century wire debate american liberal academic,Fake
1,turkish force set position syria idlib,True
0,breaking video controversial mayor refused allow sharia law texas city muslim clock boy went school explains school tell side story,Fake
0,arizona bikers become violent dreamer worst nightmare upcoming phoenix trump rally,Fake
1,mexico school collapse spur doubt building code quake,True
0,boiler room 94 president trump great neo liberal freakout 2017,Fake
0,say tide detergent join force open border organization la raza wash away racism video,Fake
1,episode 9 qt cozy bear eggnog sober analysis russian hack hysteria,True
1,germany softens stance turkish arm sale citing security,True
0,man walk target undercover camera watch manager shocking reply asks use woman bathroom,Fake
0,hillary crash burn dems look recycled rich white guy save diverse,Fake
0,oops hillary hit woman lied trump groping eye witness come forward one flirtatious,Fake
0,college receives 280 million state,Fake
1,u military iraq urge iraqi kurd avoid escalation,True
1,singapore man woman arrested terrorism related activity,True
0,hillary clinton jump shark trump secret russian server conspiracy theory,Fake
1,venezuela unrest food scarcity take psychological toll child,True
1,u willing asked facilitate talk kurd baghdad state department,True
1,u house vote non nuclear iran sanction next week,True
1,kurdish government hold meeting baghdad eve independence vote,True
0,fox news shepard smith liberal meltdown trump press conference video fireshepardsmith,Fake
1,china vow scrap secret interrogation communist party member,True
0,awesome college prof call cop conservative expect video,Fake
1,gupta email still investigation top south africa prosecutor,True
0,maid scream,Fake
1,u n expert woman child right decry myanmar atrocity,True
0,believe watch donna brazile defend decision cheat leaking question hillary video,Fake
0,something hokey ted,Fake
0,boiler room ep 68 4 non binary blonde social justice triggly convulsion,Fake
0,winning 14 year ban,Fake
1,danish diver find missing body part swedish journalist,True
0,malia obama attend university 5 9 acceptance rate black privilege video,Fake
0,low flush toilet,Fake
0,shocking physical abuse revealed former secret service agent say agent faced predicament protect bill physical violence hillary video,Fake
0,muslim activist running office key state fundamental transformation,Fake
1,british police feel strain attack latest london bombing,True
0,black life matter terrorist asks allah help kill men white folk,Fake
0,hillary pander black radio host attempt tie racist beyonce song host asks need mouth mouth cpr watch,Fake
0,wikileaks bombshell huge pay play hillary risked national security legal,Fake
0,wife lion quarterback matthew stafford sent brutal message nfl player disrespect flag,Fake
0,guess leftist,Fake
1,bahrain reject amnesty report citing crackdown dissent,True
1,journalist cnn brian stelter manages clinton health cover,True
0,black female trump executive read powerful letter wrote dispel lie told trump family,Fake
0,open border bernie threatens sheriff arpaio arresting illegal alien watch joe,Fake
1,cuba could stop attack american white house,True
0,army threatens green beret war hero court martial whistleblowing failed hostage rescue,Fake
1,hurricane irma kill least six french island saint martin,True
1,trump announce broad iran strategy week white house,True
0,iran promise crushing response u designates guard terrorist group,Fake
1,thailand ousted pm yingluck fled abroad source,True
1,macron fight president rich tag ending wealth tax,True
0,racist girl fired behaving like first lady,Fake
1,uk pm may want strong friend eu,True
0,muslim immigrant chanted allahu akbar raping gas station attendant refused appear nd court,Fake
0,clinton charity raked taxpayer dollar million,Fake
1,trump tougher stance could backfire boosting iran guard,True
1,u coalition airstrike syrian army al tanf another calculated war crime,True
0,breaking wikileaks give tech company exclusive access cia hack tool,Fake
0,hilarious video show reddit user apologizing terror organization cnn threatened public,Fake
1,peru congress pass bill legalize medical marijuana,True
0,wow sean spicer destroys bbc,Fake
0,syrian muslim man whose family perished trip could get free dental care new spokesperson role,Fake
